date,description,position,summary
2020-12-08,UK administers its first does of Pfizer/BioNTech vaccine outside of clinical trials.,5,"UK administers
its first does"
2020-12-19,A new strain of coronavirus identified in South East England and date suggests it could be 70% more transmissible.,1,"A new strain of
coronavirus in"
2020-12-19,The UK announces changes to planned relaxation of rules over Christmas with relaxation period cut to just Christmas day and much of London and the South East being moved into a new Tier 4 in which rules will not be relaxed over Christmas.,23,"The UK
announces changes to of"
2020-12-21,"The number of people in the UK who have received the first dose of the Covid-19 vaccine reaches 500,000.",19,"The number of
people in the UK"
2020-12-22,AstraZeneca states that it believes its vaccine should be effective against the new strain of coronavirus.,15,"AstraZeneca
states that it its"
2020-12-30,Oxford-AstraZeneca vaccine approved for use in the UK.,11,Oxford-AstraZeneca vaccine for
2021-01-04,England enters third national lockdown with schools closed and people allowed to leave their homes once a day for exercise for the next six weeks at least.,7,"England enters
third national"
2021-01-04,UK becomes the first country to administer the Oxford-AstraZeneca vaccine.,3,"UK becomes the
first country"
2021-02-14,15 million Britons have now received their first dose of a Covid-19 vaccine.,20,"15 million
Britons have now of"
2021-02-19,UK announces that all UK adults will be offered a first dose of the coronavirus vaccine by the end of July 2021.,17,"UK announces
that all UK will"
2021-02-21,One in three adults in the UK have now received the first dose of a Covid-19 vaccine.,13,"One in three
adults in the UK"
2021-02-25,Queen Elizabeth II urges those hesitant about getting the vaccine to 'think about other people than themselves'.,9,"Queen Elizabeth
II urges those"
2021-03-16,European Medicines Agency announces it is investigating 30 cases of unusual blood disorders among 5 million recipients of the Oxford/AstraZeneca vaccine.,5,"European
Medicines Agency it"
2021-03-18,"European Medicines Agency declares the Oxford/AstraZeneca vaccine safe to use, declaring that the benefits outweigh the risks.",1,"European
Medicines Agency the"
2021-03-19,"British PM, Boris Johnson, receives his first dose of the Oxford/AstraZeneca vaccine.",23,"British PM,
Boris Johnson, his"
2021-03-21,"UK sets new record of 873,784 daily vaccinations.",19,"UK sets new
record of 873,784"
2021-03-22,UK lights candles in remembrance of the lives lost on the anniversary of the first lockdown.,15,"UK lights
candles in of the on"
2021-03-25,UK's emergency Covid regulations extended for another six months.,11,"UK's emergency
Covid extended"
2021-03-27,NHS England passes 25 million first vaccine administrations.,7,"NHS England
passes 25 million"
2021-03-28,UK hits 30 million coronavirus vaccinations.,3,"UK hits 30
million coronavirus"
2021-04-02,7 deaths reported among those who have received the Oxford/AstraZeneca vaccination in the UK.,20,"7 deaths
reported among those"
2021-04-05,UK Prime Minister Boris Johnson confirms that the UK's easing of lockdown will go ahead as planned on the 12th April.,17,"UK Prime
Minister Boris that"
2021-04-07,UK advises against giving the Oxford/Astrazeneca vaccine to under 30s.,13,"UK advises
against giving the"
2021-04-09,WHO declares that the risks from Covid-19 are much higher than the risks associated with Oxford/AstraZeneca vaccine.,9,"WHO declares
that the risks"
2021-04-12,"The UK begins vaccinating over-40s, while non-essential shops, gyms and pubs reopen in England.",5,"The UK begins
vaccinating gyms"
2021-04-15,77 cases of a Covid-19 variant first identified in India found in the UK.,1,"77 cases of a
Covid-19 variant"
2021-04-24,Half of the UK population has now had their first dose of the Covid-19 vaccination.,23,"Half of the UK
population has"
2021-04-29,All over 40s in the UK will now be offered the Covid-19 vaccine.,19,"All over 40s in
the UK will be"
2021-05-09,Data shows a third of UK adults are now fully vaccinated against Covid-19.,15,"Data shows a
third of UK are"
2021-05-13,"Prime Minister Boris Johnson has warns that the Indian variant is of concern, as UK cases of Indian strain more than double.",11,"Prime Minister
Boris Johnson"
2021-05-16,Health experts warn that people should ignore Monday's easing of lockdown and avoid socialising indoors to stop the spread of the Indian variant.,7,"Health experts
warn that of"
2021-05-20,Public Health England shows that two doses of the Oxford/AstraZeneca vaccine is 85-90% effective against symptomatic Covid-19.,3,"Public Health
England shows of"
2021-05-22,The UK's health secretary confirms that two doses of the Covid-19 vaccine are almost as effective against the 'Indian' variant as they are against the 'Kent' variant.,20,"The UK's health
secretary that"
2021-05-23,UK hits 60million vaccine doses administered.,17,"UK hits
60million vaccine"
2021-06-01,Britain records no new deaths within 28 days of a positive Covid-19 test for the first time since July 2020.,13,"Britain records
no new deaths"
2021-06-03,UK reports its highest number of new cases in one day since March 2021.,9,"UK reports its
highest number"
2021-06-08,Vaccine passports to be used for the first time in the UK at sporting events for England's Euro 2020 group games at Wembley.,5,"Vaccine
passports to be used"
2021-06-14,England delays the lifting of Covid-19 restrictions by four weeks.,1,"England delays
the lifting of"
2021-06-26,Sajid Javid appointed Health Secretary following Matt Hancock's resignation.,23,"Sajid Javid
appointed Health"
2021-06-27,Half of under-30s in the UK have now received their first vaccine.,19,"Half of
under-30s in the UK"
2021-07-09,European and UK drugs regulators identify a possible and very rare link between Pfizer and Moderna vaccines and heart inflammation.,15,"European and UK
drugs identify"
2021-07-12,European Medicines Agency announces it is investigating rare cases of a nerve disorder emerging from the Johnson & Johnson vaccine.,11,"European
Medicines Agency it"
2021-07-16,"1,200 scientists call England's Covid-19 unlocking an 'unethical experiment', describing it as a threat to the world.",7,"1,200
scientists call Covid-19"
2021-07-17,"UK Health Secretary, Sajid Javid, tests positive for Covid-19.",3,"UK Health
Secretary, Sajid for"
2021-07-19,England removes the vast majority of Covid-19 restrictions including social distancing.,20,"England removes
the vast of"
